id,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm133914,MOVIE,1989,Unknown,72,['comedy'],['GB'],0.0,tt0213984,8.1,1522.0,1.429,6.8
tm38736,MOVIE,1988,Unknown,100,"['drama', 'war']",['US'],0.0,tt0096286,6.7,494.0,1.291,6.9
tm258072,MOVIE,1986,Unknown,100,"['crime', 'drama']",['US'],0.0,tt0090589,7.0,209.0,2.203,7.0
tm52815,MOVIE,1982,Unknown,134,"['drama', 'romance']",['IN'],0.0,tt0208903,6.5,1449.0,3.042,5.3
tm137013,MOVIE,1989,Unknown,102,['drama'],['US'],0.0,tt0098237,7.2,857.0,1.714,6.4
tm157853,MOVIE,1990,Unknown,94,"['drama', 'crime']",['US'],0.0,tt0099833,5.6,200.0,2.768,4.9
tm157603,MOVIE,1990,Unknown,172,"['romance', 'comedy', 'drama']",['IN'],0.0,tt0099429,6.6,5273.0,2.38,6.5
tm45720,MOVIE,1982,Unknown,170,"['comedy', 'drama']",['KW'],0.0,tt10130668,8.7,154.0,1.465,7.5
tm55091,MOVIE,1988,Unknown,100,['drama'],['US'],0.0,tt0095945,7.1,144.0,2.673,8.0
tm151332,MOVIE,1989,Unknown,105,['drama'],"['EG', 'FR']",0.0,tt0099858,6.5,643.0,3.021,5.3
tm24110,MOVIE,1987,Unknown,100,['drama'],['US'],0.0,tt0094052,6.3,357.0,2.564,6.8
tm348735,MOVIE,1988,Unknown,148,"['action', 'crime', 'thriller']",['IN'],0.0,tt0177505,5.1,92.0,1.15,5.0
tm51083,MOVIE,1988,Unknown,120,"['crime', 'drama', 'thriller']",['US'],0.0,tt0096179,5.8,380.0,1.509,5.8
tm311264,MOVIE,1987,Unknown,172,"['comedy', 'drama', 'family', 'action']",['IN'],0.0,tt0239682,4.8,68.0,1.825,6.5
tm172482,MOVIE,1984,Unknown,160,"['romance', 'action', 'drama']",['IN'],0.0,tt0807047,6.1,297.0,2.002,5.8
tm52274,MOVIE,1982,Unknown,108,"['drama', 'war', 'european']","['FR', 'LB']",0.0,tt0084492,6.3,149.0,1.069,5.5
tm342996,MOVIE,1984,Unknown,170,"['drama', 'action']",['IN'],0.0,tt0301231,6.2,241.0,1.476,6.5
ts63001,SHOW,1988,TV-PG,50,['comedy'],['US'],1.0,tt0094478,3.8,6.0,0.6,7.5
tm411457,MOVIE,1986,Unknown,153,"['drama', 'action']",['IN'],0.0,tt0358053,6.1,65.0,1.094,6.5
tm371359,MOVIE,1986,Unknown,159,"['drama', 'thriller', 'action']",['IN'],0.0,tt0239495,5.2,122.0,3.243,5.0
tm446654,MOVIE,1989,Unknown,162,"['drama', 'action', 'crime']",['IN'],0.0,tt0097926,5.4,188.0,2.744,6.0
tm47673,MOVIE,1982,Unknown,129,"['fantasy', 'drama']",['EG'],0.0,tt0084042,7.3,1113.0,2.547,6.7
tm419052,MOVIE,1983,Unknown,151,"['family', 'romance']",['IN'],0.0,tt0379272,6.3,70.0,0.892,7.0
tm11556,MOVIE,1995,R,107,"['western', 'thriller', 'action', 'romance']","['US', 'JP']",0.0,tt0114214,6.5,92224.0,17.543,6.5
ts20981,SHOW,2000,TV-PG,48,['reality'],['US'],42.0,tt0239195,7.4,24368.0,73.107,7.3
ts22176,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']","['US', 'CA']",10.0,tt0118480,8.4,90196.0,167.57,8.2
ts21223,SHOW,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],24.0,tt0168366,7.6,172.0,138.135,7.6
tm122434,MOVIE,1994,PG-13,142,"['drama', 'romance', 'comedy']",['US'],0.0,tt0109830,8.8,1994599.0,57.114,8.5
